Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Tom Brady,QB,NE,81,76,65,70,74,68,74,86,bye,61,57,70,68,61,60,67,80,1118,69.9
Blake Bortles,QB,JAC,64,67,64,78,54,69,68,bye,80,84,78,64,66,66,58,90,60,1110,69.4
Larry Fitzgerald,WR,ARI,74,62,77,82,57,58,46,bye,68,80,57,72,63,62,84,61,71,1074,67.1
Cam Newton,QB,CAR,67,68,50,63,66,82,72,65,65,71,bye,72,57,64,75,65,61,1063,66.4
Russell Wilson,QB,SEA,49,82,73,68,68,bye,75,69,83,62,74,67,62,62,54,57,58,1063,66.4
Brandin Cooks,WR,LAR,67,65,58,64,72,66,70,82,0,68,56,62,68,60,57,65,78,1058,66.1
Dak Prescott,QB,DAL,74,71,47,71,74,bye,63,68,67,63,60,55,68,63,65,76,68,1053,65.8
Ben Roethlisberger,QB,PIT,60,74,64,76,79,64,69,64,bye,66,72,74,66,89,67,54,0,1038,64.9
Matthew Stafford,QB,DET,71,62,70,70,61,81,bye,71,68,52,63,59,54,68,63,64,58,1035,64.7
Adam Thielen,WR,MIN,65,63,63,55,68,72,65,78,bye,55,73,66,60,69,56,60,66,1034,64.6
Drew Brees,QB,NO,62,65,58,74,bye,71,76,61,60,72,71,57,64,52,68,65,58,1034,64.6
Philip Rivers,QB,LAC,59,58,73,57,78,65,58,56,bye,69,57,68,70,57,64,73,66,1028,64.3
Joe Flacco,QB,BAL,66,68,35,69,66,73,65,29,75,bye,59,67,64,64,78,73,76,1027,64.2
DeAndre Hopkins,WR,HOU,79,66,71,78,64,63,bye,71,71,69,65,69,81,67,57,56,0,1027,64.2
Matt Ryan,QB,ATL,59,58,68,75,bye,57,57,66,60,65,62,64,53,74,71,65,72,1026,64.1
Eli Manning,QB,NYG,56,56,69,80,70,54,59,bye,64,66,69,57,0,80,88,72,78,1018,63.6
Case Keenum,QB,DEN,0,65,74,56,44,77,66,85,0,61,78,73,66,73,58,65,75,1016,63.5
Kirk Cousins,QB,MIN,63,71,68,50,0,74,64,59,63,75,69,71,56,50,53,69,57,1012,63.3
Marvin Jones,WR,DET,68,56,68,64,58,80,bye,68,65,50,62,59,59,67,62,64,55,1005,62.8
Jacoby Brissett,QB,IND,9,71,66,60,76,58,67,74,66,59,bye,63,69,71,54,62,64,989,61.8
Alex Smith,QB,WAS,69,53,53,76,77,54,62,62,57,0,75,58,46,75,66,83,0,966,60.4
Le'Veon Bell,RB,PIT,43,68,62,69,73,58,61,60,bye,65,68,72,63,80,57,46,0,945,59.1
Marcus Mariota,QB,TEN,64,68,72,23,0,69,72,bye,52,90,65,58,54,60,64,69,65,945,59.1
Kenny Stills,WR,MIA,bye,60,62,47,51,60,72,64,65,57,57,56,54,61,64,49,63,942,58.9
Andy Dalton,QB,CIN,61,64,61,61,66,bye,51,56,39,51,55,61,64,45,41,86,79,941,58.8
Jared Goff,QB,LAR,60,50,67,69,74,59,76,bye,51,66,59,77,58,48,56,69,0,939,58.7
Derek Carr,QB,OAK,66,57,51,34,0,58,82,65,63,bye,74,68,65,61,70,69,54,937,58.6
Jarvis Landry,WR,CLE,0,62,60,46,49,65,70,59,66,53,54,52,53,66,70,55,52,932,58.3
Tyrod Taylor,QB,CLE,77,54,65,60,70,0,68,69,75,37,40,70,46,0,63,70,67,931,58.2
Alshon Jeffery,WR,PHI,60,61,67,68,53,56,53,48,49,bye,47,67,70,86,61,63,18,927,57.9
T.Y. Hilton,WR,IND,44,64,64,51,67,54,57,68,60,49,bye,62,67,48,51,62,58,926,57.9
Kyle Rudolph,TE,MIN,55,63,68,55,67,75,61,82,bye,53,73,65,64,55,21,35,32,924,57.8
Jack Doyle,TE,IND,46,70,66,48,0,58,54,71,62,58,bye,61,64,71,54,62,64,909,56.8
Jesse James,TE,PIT,54,71,46,58,72,55,50,58,bye,45,76,64,58,71,60,32,37,907,56.7
Rob Gronkowski,TE,NE,78,46,64,70,0,63,71,86,bye,61,53,64,65,0,60,66,58,905,60.3
Keenan Allen,WR,LAC,53,49,61,49,71,55,47,52,bye,59,53,59,64,49,47,66,63,897,56.1
Marcedes Lewis,TE,GB,64,54,39,69,45,52,57,bye,62,77,67,56,56,62,38,44,53,895,55.9
Antonio Brown,WR,PIT,51,70,64,68,75,57,64,59,bye,63,70,74,66,86,21,0,0,888,55.5
DeShone Kizer,QB,GB,66,52,77,51,42,0,35,59,0,74,55,67,63,58,64,59,65,887,55.4
