Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
Rob Gronkowski (NE),69,105,1083,15.7,53,18,8,0,0,0,0,13,158.3,12.2,100.0%
Travis Kelce (KC),83,122,1038,12.5,44,19,8,2,7,0,0,15,150.5,10.0,100.0%
Zach Ertz (PHI),74,110,824,11.1,53,7,8,0,0,0,1,14,128.4,9.2,100.0%
Jimmy Graham (GB),57,95,520,9.1,33,8,10,0,0,0,0,16,114.0,7.1,98.2%
Evan Engram (NYG),64,115,722,11.3,35,11,6,1,14,0,0,15,109.6,7.3,98.1%
Kyle Rudolph (MIN),57,81,532,9.3,34,4,8,0,0,0,0,16,101.2,6.3,96.5%
Delanie Walker (TEN),74,111,807,10.9,42,9,3,2,-2,1,2,16,100.5,6.3,97.2%
Cameron Brate (TB),48,77,591,12.3,35,5,6,0,0,0,0,16,95.1,5.9,39.9%
Jack Doyle (IND),80,108,690,8.6,26,4,4,0,0,0,2,15,89.0,5.9,82.9%
Jason Witten (FA),63,87,560,8.9,28,3,5,0,0,0,1,16,84.0,5.3,0.7%
Tyler Kroft (CIN),42,62,404,9.6,59,4,7,0,0,0,0,15,82.4,5.5,1.6%
Hunter Henry (LAC),45,62,579,12.9,34,8,4,0,0,0,0,12,81.9,6.8,2.5%
Eric Ebron (IND),53,86,574,10.8,44,6,4,0,0,0,1,16,79.4,5.0,23.7%
Vernon Davis (WAS),43,68,648,15.1,69,11,3,0,0,0,2,16,78.8,4.9,6.2%
Jared Cook (OAK),54,86,687,12.7,35,10,2,0,0,0,1,16,78.7,4.9,33.5%
Benjamin Watson (NO),61,79,522,8.6,33,5,4,0,0,0,0,16,76.2,4.8,31.2%
O.J. Howard (TB),26,39,432,16.6,58,9,6,0,0,0,2,13,75.2,5.8,43.5%
Austin Hooper (ATL),49,65,526,10.7,88,5,3,0,0,0,0,16,70.6,4.4,21.1%
Charles Clay (BUF),49,74,558,11.4,44,7,2,0,0,0,0,13,67.8,5.2,41.6%
Marcedes Lewis (GB),24,48,318,13.3,37,5,5,0,0,0,0,16,63.8,4.0,0.7%
George Kittle (SF),43,63,515,12.0,44,8,2,0,0,0,0,15,63.5,4.2,57.0%
David Njoku (CLE),32,60,386,12.1,34,8,4,1,1,0,0,16,62.7,3.9,81.9%
Garrett Celek (SF),21,33,336,16.0,61,6,4,0,0,0,0,13,57.6,4.4,0.7%
Julius Thomas (FA),41,62,388,9.5,27,4,3,0,0,0,0,14,56.8,4.1,0.6%
Trey Burton (CHI),23,31,248,10.8,27,2,5,0,0,0,0,14,56.8,4.1,87.1%
Jesse James (PIT),43,64,372,8.7,32,1,3,0,0,0,0,14,55.2,3.9,3.3%
Austin Seferian-Jenkins (JAC),50,74,357,7.1,28,2,3,0,0,0,1,13,51.7,4.0,25.2%
Ed Dickson (SEA),30,48,437,14.6,64,7,1,0,0,0,0,14,49.7,3.6,0.7%
