Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
DeAndre Hopkins,WR,HOU,16,13,8,12,12,4,bye,11,16,14,9,10,14,16,13,6,-,174,11.6
Antonio Brown,WR,PIT,11,11,14,9,19,10,10,10,bye,7,13,12,15,18,3,-,-,162,11.6
Larry Fitzgerald,WR,ARI,13,6,15,7,10,11,3,bye,9,14,10,8,10,7,10,15,13,161,10.1
Jarvis Landry,WR,MIA,bye,15,11,7,10,14,11,12,7,10,11,9,6,8,13,7,10,161,10.1
Keenan Allen,WR,LAC,10,10,9,11,12,9,7,5,bye,7,13,14,14,8,8,10,12,159,9.9
Michael Thomas,WR,NO,8,10,8,11,bye,6,11,8,11,10,11,8,9,14,11,5,8,149,9.3
Julio Jones,WR,ATL,5,9,12,4,bye,7,13,6,12,8,10,15,6,11,8,11,11,148,9.3
Adam Thielen,WR,MIN,10,6,8,8,8,13,12,10,bye,12,9,11,5,13,5,6,7,143,8.9
A.J. Green,WR,CIN,10,8,13,7,13,bye,6,8,2,7,9,8,16,12,4,10,10,143,8.9
Demaryius Thomas,WR,DEN,8,8,9,5,bye,14,6,9,12,8,9,8,10,12,8,6,8,140,8.8
Mike Evans,WR,TB,bye,9,12,11,8,8,10,10,6,-,10,12,6,5,8,8,13,136,9.1
Dez Bryant,WR,DAL,9,16,2,13,8,bye,10,6,11,8,14,5,7,5,4,6,8,132,8.3
Travis Kelce,TE,KC,7,10,1,8,11,7,5,10,9,bye,14,4,8,13,7,8,-,122,8.1
Alshon Jeffery,WR,PHI,7,13,8,6,4,10,6,8,11,bye,7,9,6,11,10,2,2,120,7.5
Golden Tate,WR,DET,12,4,11,5,8,7,bye,8,9,7,4,8,10,9,5,6,7,120,7.5
Davante Adams,WR,GB,7,10,6,5,11,10,5,bye,10,8,10,9,6,14,7,-,-,118,8.4
Doug Baldwin,WR,SEA,4,9,15,3,8,bye,12,10,12,6,6,3,7,6,4,6,5,116,7.3
Evan Engram,TE,NYG,5,7,7,11,4,7,12,bye,10,9,6,7,8,7,13,2,-,115,7.7
Robby Anderson,WR,NYJ,8,4,6,6,5,12,5,6,5,7,bye,10,12,6,12,7,3,114,7.1
Brandin Cooks,WR,NE,7,4,7,6,8,9,5,8,bye,11,9,7,3,7,7,5,11,114,7.1
Christian McCaffrey,RB,CAR,7,5,11,6,7,14,9,7,6,7,bye,5,6,4,7,4,8,113,7.1
Devin Funchess,WR,CAR,2,7,10,9,8,9,8,6,7,6,bye,12,7,7,4,4,6,112,7.0
Delanie Walker,TE,TEN,9,4,6,7,5,8,10,bye,5,9,9,5,5,9,10,5,5,111,6.9
Zach Ertz,TE,PHI,8,10,10,8,12,5,5,6,-,bye,5,12,4,-,9,14,2,110,7.9
T.Y. Hilton,WR,IND,7,6,9,6,9,4,8,7,9,4,bye,5,6,4,7,12,6,109,6.8
Jack Doyle,TE,IND,3,8,5,7,-,11,7,14,9,5,bye,8,5,3,8,10,5,108,7.2
Marvin Jones,WR,DET,2,5,6,5,8,14,bye,11,11,2,7,9,8,4,5,5,5,107,6.7
Le'Veon Bell,RB,PIT,6,4,7,6,10,6,3,3,bye,6,11,14,6,10,6,8,-,106,7.1
Rob Gronkowski,TE,NE,6,9,10,5,-,10,7,9,bye,7,3,8,11,-,13,7,0,105,7.5
Tyreek Hill,WR,KC,8,6,8,6,6,7,8,6,4,bye,7,11,9,6,6,7,-,105,7.0
Marquise Goodwin,WR,SF,6,6,5,2,11,5,8,3,8,2,bye,6,8,12,13,6,4,105,6.6
Kenny Stills,WR,MIA,bye,5,10,3,2,4,9,10,4,8,8,6,13,4,6,6,7,105,6.6
Jamison Crowder,WR,WAS,7,5,6,1,bye,5,6,13,-,11,8,10,7,6,7,4,7,103,6.9
Jermaine Kearse,WR,NYJ,9,5,3,7,4,4,4,5,6,8,bye,11,10,6,5,8,7,102,6.4
Alvin Kamara,RB,NO,6,7,5,10,bye,4,7,3,7,5,9,6,6,3,7,9,7,101,6.3
Michael Crabtree,WR,OAK,7,6,3,-,8,10,7,10,4,bye,11,0,-,13,17,3,2,101,7.2
Mohamed Sanu,WR,ATL,9,6,6,3,bye,-,10,7,3,5,3,9,5,8,5,6,11,96,6.4
Marqise Lee,WR,JAC,4,12,7,3,4,10,6,bye,12,11,9,2,10,6,0,-,-,96,6.9
