Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
 ,,,,,,,,,,,
Aaron Rodgers,GB,588.6,378.3,"4,183.2",34.1,9.1,58.9,314.3,2.1,2.5,324.7
Tom Brady,NE,586.9,387.1,"4,639.6",33.0,8.7,27.7,40.9,0.9,2.4,304.6
Russell Wilson,SEA,538.4,330.4,"3,899.9",26.5,12.3,91.3,512.7,3.3,2.5,303.7
Deshaun Watson,HOU,516.9,312.9,"3,781.9",28.0,15.6,74.2,440.1,3.5,2.6,291.9
Drew Brees,NO,572.3,391.8,"4,563.6",29.9,12.8,29.6,75.4,1.6,2.3,289.3
Cam Newton,CAR,509.2,296.8,"3,453.3",22.1,14.0,120.7,642.6,5.1,2.2,288.9
Carson Wentz,PHI,518.1,320.1,"3,767.4",26.8,10.7,66.4,272.0,2.0,2.6,270.6
Matthew Stafford,DET,577.4,374.7,"4,309.6",27.2,12.4,35.6,133.5,1.0,2.8,270.4
Ben Roethlisberger,PIT,576.5,370.6,"4,423.1",28.9,14.6,23.0,62.1,0.8,2.3,269.7
Andrew Luck,IND,547.8,342.8,"3,964.1",26.5,15.0,57.2,276.4,2.0,2.5,268.9
Kirk Cousins,MIN,549.4,356.0,"4,128.3",26.1,13.6,49.6,167.6,2.5,2.9,268.2
Alex Smith,WAS,531.7,341.1,"3,911.5",24.6,9.3,57.0,256.8,1.8,3.5,265.5
Jimmy Garoppolo,SF,570.3,366.8,"4,311.8",24.8,12.3,41.2,128.1,1.5,2.6,263.8
Matt Ryan,ATL,549.4,360.8,"4,248.3",25.8,11.9,34.9,116.0,0.9,2.3,261.7
Philip Rivers,LAC,567.1,356.0,"4,324.5",28.8,13.5,20.1,37.2,0.3,2.5,261.7
Jared Goff,LAR,540.4,327.3,"3,984.0",27.9,11.5,30.1,77.4,1.1,2.9,256.0
Marcus Mariota,TEN,508.7,313.3,"3,597.3",21.8,13.7,65.7,348.8,3.3,2.6,253.3
Dak Prescott,DAL,500.9,311.3,"3,452.2",21.4,12.3,60.7,336.8,3.9,2.6,250.7
Patrick Mahomes,KC,543.8,344.4,"3,837.6",23.7,14.2,60.2,238.7,2.0,2.8,250.2
Blake Bortles,JAC,518.5,311.9,"3,592.9",21.7,12.9,57.3,321.3,2.5,2.6,246.7
Ryan Tannehill,MIA,553.6,347.2,"3,847.3",21.7,14.6,41.2,171.6,1.4,2.6,231.9
Derek Carr,OAK,568.2,344.4,"3,835.3",24.7,13.5,26.8,72.1,0.5,2.8,230.1
Andy Dalton,CIN,542.3,325.6,"3,681.0",23.8,13.9,40.2,139.4,1.3,3.1,229.9
Case Keenum,DEN,551.7,343.0,"3,796.7",21.4,12.6,39.9,153.8,1.2,3.1,228.5
Eli Manning,NYG,602.9,366.4,"3,909.0",24.8,14.8,14.6,31.9,0.6,2.6,227.5
Mitch Trubisky,CHI,527.1,313.8,"3,429.3",19.9,13.7,59.3,296.3,2.2,2.9,226.2
Jameis Winston,TB,465.6,290.2,"3,437.1",20.9,12.0,32.9,137.7,1.2,2.4,213.5
Tyrod Taylor,CLE,433.6,259.4,"2,789.4",16.0,7.6,66.2,361.0,3.0,2.2,209.9
Joe Flacco,BAL,557.6,340.2,"3,495.1",19.7,14.0,23.2,65.6,1.0,1.9,199.5
Sam Darnold,NYJ,451.5,273.6,"3,110.6",17.2,13.3,38.9,154.1,1.3,3.2,183.3
Josh Allen,BUF,405.0,240.0,"2,744.6",15.1,13.6,37.7,166.6,1.3,2.6,162.0
Sam Bradford,ARI,368.7,237.7,"2,665.4",15.1,8.3,13.3,37.5,0.3,1.4,152.8
Josh Rosen,ARI,215.2,132.2,"1,462.2",7.6,5.8,11.9,44.3,0.3,1.6,80.2
AJ McCarron,BUF,102.2,59.7,908.6,5.0,3.7,8.9,39.3,0.2,1.0,52.3
Baker Mayfield,CLE,121.5,71.2,858.8,4.9,3.5,11.4,51.2,0.4,1.1,52.0
