Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
 ,,,,,,,,,
Todd Gurley,LAR,289.0,"1,296.1",11.0,66.2,638.1,3.8,2.0,278.1
Le'Veon Bell,PIT,305.5,"1,292.5",9.5,83.5,671.0,2.9,2.1,266.9
David Johnson,ARI,278.3,"1,076.3",8.7,76.0,739.9,3.3,2.7,247.9
Ezekiel Elliott,DAL,311.2,"1,381.8",10.6,42.3,367.4,1.9,1.6,246.8
Melvin Gordon,LAC,274.1,"1,100.1",7.9,56.8,480.5,2.5,1.2,217.6
Alvin Kamara,NO,166.2,820.2,7.0,73.3,702.8,4.1,1.0,216.9
Leonard Fournette,JAC,290.9,"1,173.0",9.5,39.5,326.1,1.3,1.2,212.2
Kareem Hunt,KC,249.1,"1,116.5",8.2,52.7,411.2,2.2,1.6,211.9
Saquon Barkley,NYG,261.2,"1,115.6",7.4,56.1,423.6,2.1,1.5,207.7
Dalvin Cook,MIN,262.5,"1,141.0",7.6,45.4,365.4,1.8,1.8,203.3
Devonta Freeman,ATL,221.0,960.3,7.8,45.1,381.8,1.9,1.4,189.4
Christian McCaffrey,CAR,162.5,618.8,3.8,75.9,684.1,4.3,1.0,176.9
Jordan Howard,CHI,250.7,"1,072.8",7.7,26.9,193.1,0.7,1.2,175.1
LeSean McCoy,BUF,213.5,931.3,5.4,44.4,362.0,1.7,1.2,170.1
Jerick McKinnon,SF,209.9,819.9,5.5,56.6,442.8,1.9,1.5,167.3
Alex Collins,BAL,230.0,998.0,6.6,28.2,224.5,0.8,2.1,162.6
Joe Mixon,CIN,230.3,900.5,6.5,37.7,295.8,1.1,1.5,162.3
Derrick Henry,TEN,214.0,942.2,6.8,20.5,197.3,1.0,1.1,159.0
Kenyan Drake,MIA,185.9,825.8,5.2,41.4,321.1,1.2,1.4,150.7
Jay Ajayi,PHI,220.1,951.5,5.6,26.1,191.0,0.8,1.9,148.8
Lamar Miller,HOU,211.9,837.1,4.3,35.9,277.3,1.6,1.1,145.1
Royce Freeman,DEN,187.5,822.4,5.3,32.8,269.8,1.1,1.7,144.2
Rex Burkhead,NE,128.4,571.5,5.8,34.7,298.0,2.0,0.8,132.0
Tevin Coleman,ATL,148.7,624.5,4.5,33.3,303.4,2.0,0.8,130.5
Mark Ingram,NO,153.1,679.4,5.6,33.6,243.5,1.1,1.4,130.1
Marshawn Lynch,OAK,181.4,771.2,6.1,20.2,153.1,0.4,0.9,129.9
Marlon Mack,IND,161.4,647.1,4.7,30.1,285.8,1.6,1.0,129.1
