Player,Team,REC,YDS,TDS,FL,FPTS
 ,,,,,,
Rob Gronkowski,NE,74.6,"1,080.1",9.1,0.2,162.3
Travis Kelce,KC,83.2,989.7,6.7,0.2,139.0
Zach Ertz,PHI,76.6,852.5,6.5,0.5,123.2
Evan Engram,NYG,68.7,770.4,5.4,0.3,108.7
Greg Olsen,CAR,63.2,770.5,5.1,0.3,107.4
Delanie Walker,TEN,66.5,770.6,5.0,0.9,105.3
Jimmy Graham,GB,62.3,650.4,6.7,0.5,104.5
Kyle Rudolph,MIN,60.3,606.3,5.9,0.2,95.5
Jack Doyle,IND,66.1,638.1,4.8,0.9,90.6
Jordan Reed,WAS,60.7,628.0,4.6,0.4,89.5
Trey Burton,CHI,54.6,597.9,4.2,0.3,84.7
George Kittle,SF,47.2,559.4,4.2,0.3,80.5
Cameron Brate,TB,44.9,546.4,4.1,0.3,78.8
David Njoku,CLE,48.6,538.1,4.1,0.3,77.9
Jared Cook,OAK,46.4,571.2,3.6,0.5,77.6
Eric Ebron,IND,45.5,535.3,4.1,0.5,77.0
Tyler Eifert,CIN,40.9,487.0,4.7,0.3,76.5
Charles Clay,BUF,51.7,550.4,3.0,0.2,72.9
Ricky Seals-Jones,ARI,37.1,493.2,4.0,0.3,72.6
Vance McDonald,PIT,41.6,507.7,3.6,0.2,72.0
O.J. Howard,TB,38.3,495.1,3.9,1.2,70.3
Benjamin Watson,NO,45.1,469.4,3.8,0.2,69.2
Austin Hooper,ATL,44.1,473.7,3.4,0.2,67.5
Austin Seferian-Jenkins,JAC,46.0,474.8,3.2,0.5,65.7
Hayden Hurst,BAL,41.1,401.9,2.9,0.3,56.8
Vernon Davis,WAS,32.3,411.8,2.6,1.0,55.0
Mike Gesicki,MIA,41.3,391.6,2.7,0.3,55.0
Luke Willson,DET,33.3,318.7,2.8,0.2,48.3
Jake Butt,DEN,29.5,325.4,2.4,0.4,45.9
Blake Jarwin,DAL,30.0,314.5,2.5,0.3,45.7
Virgil Green,LAC,30.3,311.5,2.4,0.1,45.0
Ryan Griffin,HOU,28.4,333.6,2.0,0.6,44.3
Ed Dickson,SEA,26.1,302.9,2.2,0.2,43.1
Tyler Higbee,LAR,27.5,302.3,2.2,0.3,42.6
Garrett Celek,SF,23.6,272.3,2.6,0.2,42.4
Tyler Kroft,CIN,26.6,266.5,2.5,0.2,41.1
Jesse James,PIT,28.5,274.0,2.1,0.2,39.6
Dallas Goedert,PHI,25.2,254.0,2.3,0.3,38.4
Nick Vannett,SEA,24.7,245.8,2.1,0.2,37.1
Jonnu Smith,TEN,24.2,245.9,2.0,0.2,36.4
Gerald Everett,LAR,21.4,239.5,2.1,0.6,35.3
Jermaine Gresham,ARI,25.2,257.8,1.4,0.2,34.1
Stephen Anderson,HOU,20.5,237.1,1.5,0.2,32.4
Adam Shaheen,CHI,16.9,202.8,2.0,0.1,32.0
Marcedes Lewis,GB,16.5,179.0,2.3,0.2,31.2
Nick O'Leary,BUF,19.4,228.8,1.2,0.5,29.3
Jeff Heuerman,DEN,17.3,196.3,1.4,0.2,27.4
Demetrius Harris,KC,16.0,179.8,1.3,0.2,25.4
Chris Herndon IV,NYJ,18.2,183.6,1.3,0.3,25.2
Mark Andrews,BAL,19.0,180.2,1.2,0.2,24.9
Josh Hill,NO,16.5,171.4,1.4,1.0,23.6
Nick Boyle,BAL,18.8,171.6,1.1,0.1,23.5
Seth DeValve,CLE,14.1,153.1,1.2,0.2,22.4
Jordan Akins,HOU,16.3,165.1,1.1,0.3,22.2
Clive Walford,NYJ,15.3,153.3,1.1,0.1,21.8
A.J. Derby,MIA,12.1,153.1,1.1,0.2,21.4
Jordan Leggett,NYJ,14.8,150.9,1.1,0.4,21.1
Dwayne Allen,NE,11.8,130.2,1.4,0.2,21.0
Rhett Ellison,NYG,14.4,145.8,1.1,0.2,20.7
Braedon Bowman,LAC,12.3,136.9,1.2,0.1,20.6
Sean Culkin,LAC,10.8,119.4,1.2,0.1,19.0
Lance Kendricks,GB,12.2,127.4,1.1,0.1,18.9
Rico Gathers,DAL,12.4,127.7,1.1,0.3,18.7
Geoff Swaim,DAL,10.5,113.6,1.2,0.2,17.9
MarQueis Gray,MIA,14.2,137.2,0.8,0.3,17.8
Ian Thomas,CAR,7.0,123.4,0.9,0.2,17.2
Darren Fells,CLE,11.4,123.1,0.8,0.5,16.2
Michael Roberts,DET,10.9,114.1,0.8,0.1,15.9
Ben Koyack,JAC,11.1,103.8,0.9,0.1,15.7
Richard Rodgers,PHI,9.3,103.5,0.9,0.1,15.7
David Morgan,MIN,10.0,102.2,0.8,0.1,14.6
Dion Sims,CHI,9.5,103.7,0.7,0.1,14.6
Will Dissly,SEA,9.7,96.6,0.9,0.2,14.3
Levine Toilolo,DET,10.2,102.8,0.7,0.1,14.2
James O'Shaughnessy,JAC,7.2,74.2,0.9,0.1,12.9
Austin Traylor,DEN,9.7,102.0,0.5,0.5,12.4
Niles Paul,JAC,8.7,81.8,0.7,0.1,12.3
Maxx Williams,BAL,11.7,95.1,0.6,0.4,12.2
Eric Saubert,ATL,7.1,72.9,0.7,0.0,11.6
Durham Smythe,MIA,8.9,86.2,0.6,0.3,11.5
Erik Swoope,IND,7.6,89.9,0.4,0.1,11.5
Eric Tomlinson,NYJ,6.7,77.1,0.6,0.1,11.2
Evan Baylis,CAR,7.2,74.6,0.6,0.0,10.9
Sean McGrath,DET,6.0,68.2,0.7,0.1,10.9
Jaylen Samuels,PIT,0.0,92.1,0.5,0.6,10.7
Matt Lengel,HOU,4.8,56.1,0.7,0.0,10.1
Dalton Schultz,DAL,8.0,83.3,0.4,0.5,9.9
Logan Thomas,BUF,6.2,63.9,0.6,0.1,9.9
Tim Wright,KC,5.4,58.4,0.6,0.0,9.6
Neal Sterling,NYJ,6.4,79.1,0.3,0.1,9.4
Emanuel Byrd,GB,4.9,55.0,0.6,0.0,9.2
Cole Wick,SF,5.3,56.4,0.5,0.0,8.5
Cole Hikutini,SF,4.7,57.3,0.4,0.0,8.4
Jacob Hollister,NE,5.8,58.8,0.4,0.1,8.3
Xavier Grimble,PIT,5.8,54.0,0.5,0.1,8.2
Jace Amaro,KC,4.9,53.8,0.5,0.0,8.2
Antony Auclair,TB,4.7,49.4,0.5,0.1,7.6
Derek Carrier,OAK,7.9,59.1,0.3,0.1,7.5
MyCole Pruitt,HOU,5.1,54.6,0.3,0.0,7.4
Jerell Adams,NYG,5.9,62.1,0.2,0.0,7.4
Troy Fumagalli,DEN,5.6,57.4,0.3,0.1,7.4
Henry Krieger Coble,LAR,4.5,49.1,0.4,0.0,7.3
Ryan Izzo,MIN,5.0,48.0,0.4,0.0,7.2
Logan Paulsen,ATL,4.9,48.3,0.4,0.1,7.0
Alex Ellis,KC,4.9,49.5,0.3,0.0,7.0
Lee Smith,OAK,6.5,57.7,0.2,0.1,7.0
Gavin Escobar,MIA,4.0,41.5,0.5,0.1,7.0
Jeremy Sprinkle,WAS,4.5,47.0,0.4,0.1,6.9
Luke Stocker,TEN,5.1,40.5,0.5,0.1,6.9
Tyler Conklin,NE,5.3,60.7,0.1,0.0,6.9
Michael Hoomanawanui,NO,4.4,44.1,0.4,0.1,6.8
Hakeem Valles,DET,4.7,42.3,0.4,0.0,6.8
John Phillips,NO,5.0,40.0,0.5,0.1,6.8
C.J. Uzomah,CIN,6.3,59.9,0.2,0.1,6.8
Alan Cross,TB,4.3,47.8,0.3,0.0,6.7
Gabe Holmes,ARI,4.5,46.6,0.3,0.0,6.7
Temarrick Hemingway,LAR,4.0,44.8,0.4,0.1,6.5
Jordan Thomas,HOU,4.0,41.0,0.4,0.0,6.5
Khari Lee,BUF,3.9,39.0,0.4,0.0,6.3
Cethan Carter,CIN,4.0,43.3,0.3,0.0,6.2
Garrett Griffin,NO,5.1,38.8,0.3,0.0,5.9
Daniel Brown,CHI,4.4,47.4,0.2,0.1,5.9
Blake Bell,MIN,4.4,45.8,0.3,0.1,5.9
Mason Schreck,CIN,4.0,35.0,0.3,0.0,5.3
Bucky Hodges,PIT,4.0,34.0,0.3,0.0,5.2
Ben Braunecker,CHI,3.5,37.4,0.3,0.1,5.1
Chris Manhertz,CAR,4.2,37.8,0.2,0.0,5.0
Orson Charles,CLE,3.5,42.5,0.1,0.0,4.9
Will Tye,NE,4.6,37.1,0.2,0.0,4.6
Ross Travis,IND,3.6,35.1,0.1,0.1,4.2
Darrell Daniels,IND,3.2,30.2,0.2,0.1,3.8
Ryan Hewitt,CIN,2.0,19.0,0.0,0.1,1.7
,,,,,,
,,,,,,
