Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
 ,,,,,,,,,
Antonio Brown,PIT,104.7,"1,474.7",10.2,0.3,1.2,0.0,0.3,208.5
DeAndre Hopkins,HOU,93.9,"1,316.9",9.6,0.0,0.0,0.0,0.6,187.8
Julio Jones,ATL,94.0,"1,438.7",7.1,0.9,8.9,0.0,0.3,186.6
Odell Beckham Jr.,NYG,98.6,"1,258.8",8.3,2.3,15.1,0.0,0.6,176.2
Keenan Allen,LAC,96.2,"1,283.9",7.3,1.2,5.9,0.0,0.3,172.4
Michael Thomas,NO,99.3,"1,248.7",7.6,0.2,0.8,0.0,0.3,170.2
A.J. Green,CIN,85.6,"1,180.9",7.4,0.0,0.0,0.0,1.0,160.3
Davante Adams,GB,85.0,"1,070.0",9.0,0.0,0.0,0.0,0.3,160.1
Mike Evans,TB,82.4,"1,138.9",7.1,0.0,0.0,0.0,0.3,155.6
Tyreek Hill,KC,75.9,999.2,6.0,16.4,99.8,0.8,0.4,150.4
Doug Baldwin,SEA,80.1,"1,035.6",7.2,2.0,5.7,0.0,0.3,147.3
T.Y. Hilton,IND,72.5,"1,069.3",6.4,0.0,0.0,0.0,0.6,143.9
Amari Cooper,OAK,77.5,"1,017.0",6.6,0.9,5.3,0.0,0.3,141.2
Stefon Diggs,MIN,76.6,986.4,6.4,5.8,26.5,0.1,0.3,139.9
Adam Thielen,MIN,81.8,"1,073.9",5.6,1.2,7.8,0.0,1.0,139.5
JuJu Smith-Schuster,PIT,66.6,925.2,7.2,0.2,1.0,0.0,0.3,135.2
Marvin Jones,DET,61.0,935.5,6.8,0.0,0.2,0.0,0.4,133.6
Demaryius Thomas,DEN,83.8,993.4,5.9,0.0,0.0,0.0,0.7,133.3
Josh Gordon,CLE,64.8,982.2,5.8,0.6,3.3,0.0,0.4,132.5
Larry Fitzgerald,ARI,96.2,"1,007.7",5.5,0.0,0.2,0.0,0.7,132.4
Brandin Cooks,LAR,61.2,892.6,6.0,6.9,37.3,0.3,0.4,130.0
Golden Tate,DET,90.5,985.7,5.0,5.1,21.3,0.0,0.7,129.6
Allen Robinson,CHI,68.5,938.3,5.8,0.2,0.8,0.0,0.3,127.8
Marquise Goodwin,SF,57.5,894.7,5.1,3.4,26.9,0.0,0.3,122.5
Jarvis Landry,CLE,86.7,926.5,5.3,1.1,3.5,0.0,1.4,122.1
Chris Hogan,NE,59.5,824.7,6.3,2.8,16.0,0.0,0.3,121.5
Michael Crabtree,BAL,74.7,840.6,6.0,0.0,0.1,0.0,0.2,119.5
Alshon Jeffery,PHI,56.4,810.6,6.5,0.0,0.0,0.0,0.3,119.5
Devin Funchess,CAR,58.0,829.6,6.0,0.0,0.0,0.0,0.3,118.7
Robert Woods,LAR,63.0,859.1,5.2,2.0,11.9,0.0,0.7,117.0
Robby Anderson,NYJ,62.0,833.4,5.1,2.8,16.3,0.0,0.3,115.2
Cooper Kupp,LAR,63.2,835.6,5.4,0.0,0.0,0.0,0.7,114.8
Sammy Watkins,KC,59.1,813.8,5.6,0.3,0.9,0.0,0.2,114.6
Pierre Garcon,SF,69.2,876.8,4.0,0.1,0.3,0.0,0.3,111.1
Corey Davis,TEN,69.1,814.2,5.0,0.0,0.0,0.0,1.1,109.2
Emmanuel Sanders,DEN,67.3,832.6,4.3,0.1,3.4,0.0,0.3,108.9
Randall Cobb,GB,71.5,734.6,5.2,7.2,34.7,0.1,0.3,108.1
Jamison Crowder,WAS,68.8,816.1,4.5,4.3,19.7,0.1,1.5,108.0
Kenny Stills,MIA,56.8,804.8,4.7,0.0,0.0,0.0,0.9,107.0
Nelson Agholor,PHI,59.7,713.9,5.0,3.2,19.2,0.0,0.3,103.1
Will Fuller,HOU,50.2,700.8,5.3,2.3,10.8,0.0,0.3,102.4
Sterling Shepard,NYG,62.6,752.7,4.3,2.7,11.6,0.0,0.3,101.7
Marqise Lee,JAC,58.7,750.1,4.2,2.1,14.5,0.0,0.3,101.3
Julian Edelman,NE,61.9,744.7,4.2,4.3,25.4,0.0,0.6,101.2
Jordy Nelson,OAK,65.2,694.5,4.9,0.7,4.6,0.0,0.3,98.7
Kenny Golladay,DET,46.2,713.1,4.5,0.9,5.5,0.0,0.3,98.3
Devante Parker,MIA,58.7,733.9,4.2,0.0,0.0,0.0,0.3,98.1
Kelvin Benjamin,BUF,53.0,722.2,4.2,0.0,0.0,0.0,0.3,97.1
Tyrell Williams,LAC,45.6,699.5,4.5,0.0,0.0,0.0,0.6,96.1
Ted Ginn,NO,45.7,676.8,4.1,5.7,35.3,0.1,0.4,95.2
Mohamed Sanu,ATL,61.5,690.5,4.2,2.3,10.3,0.0,0.3,95.1
DeSean Jackson,TB,48.6,704.1,3.8,2.9,21.4,0.0,0.3,94.6
Allen Hurns,DAL,53.7,685.2,3.8,0.0,0.0,0.0,0.2,90.9
Josh Doctson,WAS,45.4,637.4,4.6,0.7,-1.3,0.0,0.4,90.8
Rishard Matthews,TEN,45.1,650.4,4.0,0.5,0.6,0.0,0.3,88.8
Tyler Lockett,SEA,46.2,589.2,3.5,8.2,58.3,0.4,0.4,87.6
Cameron Meredith,NO,47.5,628.8,4.1,0.2,1.5,0.0,1.1,85.2
Danny Amendola,MIA,55.3,656.4,3.3,0.6,3.2,0.0,0.3,85.1
John Ross,CIN,46.1,600.1,3.6,2.9,20.6,0.0,0.6,82.8
